title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
d3.tsv,http://bl.ocks.org/3305937,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3305937/raw/thumbnail.png,10/11/2012
d34raphael,http://webmonarch.github.com/d34raphael/usage.html,,code library,github page,,raphael,,
Dagre: Directed graph rendering,https://github.com/cpettitt/dagre/,Chris Pettitt,code library,github code,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-18-13%206.17.07%20AM.png,
Daily data return rates for seismic networks in the EarthScope USArray,http://anf.ucsd.edu/tools/data_return_rates/,Rob Newman,,,,,,
Dance.js: D3 with Backbone and Data.js,http://quasipartikel.at/2012/04/25/dancing-with-data/,,code library,,,backbone; data.js,,
Data Science Venn Diagram,http://drewconway.com/zia/2013/3/27/the-ds-vd-as-d3js,Drew Conway,standalone visualization,,venn diagram,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.24.02%20AM.png,
Data Stories #22: NYT Graphics and D3,http://datastori.es/data-stories-22-nyt-graphics-and-d3-with-mike-bostock-and-shan-carter/,Mike Bostock; Shan Carter,podcast,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-12-13%2011.05.05%20PM.png,
Data Story,http://data-story.org,Decio Battaglia; Kevin Mahoney; Xiaoying Riley,,,,,,
Data Visualization at MinnPost,http://zzolo.github.com/mjc-data-visualization-presentation/,Alan Palazzolo,tutorial,github page,,,,
Data Visualization Libraries Based on D3.JS,http://mikemcdearmon.com/portfolio/techposts/data-visualization-base-on-d3-js,Mike McDearmon,blog post,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-17-13%209.42.30%20AM.png,
Data Visualization Using D3.js,http://www.ustream.tv/recorded/20313703,Jim McCusker,talks,TWed talk,,,,
Data visualization with D3.js and python,http://blog.nextgenetics.net/?e=7,Damian Kao,blog post,,,python,,
"Data Visualization with D3.js, slides and video",http://benclinkinbeard.com/talks/2012/NCDevCon/#/,Ben Clinkinbeard,talks,NCDevCon,,,,
Dataflow programming with D3 and Blockly,http://bollwyvl.github.com/blockd3/,Quynh Neutron; Nicholas Bollweg,code library,github page,,blockly,,
DataMaps: Interactive maps for data visualizations.,http://datamaps.github.com/,Mark DiMarco,code library,github page,map,,,
Datawrapper: An open source tool to create embeddable charts,http://blog.datawrapper.de/2013/datawrapper-crosses-mark-of-10-million-visits/,Datawrapper,product,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-30-13%2011.57.52%20PM.png,
Date Ticks,http://bl.ocks.org/1071269,Mike Bostock,code viewer,bl.ocks,axis,,https://gist.github.com/mbostock/1071269/raw/thumbnail.png,10/11/2012
David Foster Wallace's 'Infinite Jest',http://www.vislives.com/2011/12/infinite-jest-visualization.html,Chris Pudney,,scatterplot,,,,
Dc.js,http://nickqizhu.github.com/dc.js/,Nick Qi Zhu,code library,github page,,,,
Dc.js NASDAQ demo,http://nickqizhu.github.com/dc.js/,Nick Zhu,blog post,,pie chart; scatterplot; line chart; bar chart; table,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%2010.06.03%20AM.png,
De Maastricht au traité budgétaire : les oui et les non de 39 personnalités politiques,http://www.lemonde.fr/politique/visuel/2012/09/18/de-maastricht-au-traite-budgetaire-les-oui-et-les-non-de-39-personnalites-politiques_1760615_823448.html,,,,bubble chart,,,
"Deadly Tornado Outbreak - April 25-28, 2011",http://benheb.github.io/tornadoes/april-27-2011,Brendan's Weather ,standalone visualization,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-29-13%202.16.59%20PM.png,
Decomposing an image from canvas to SVG,http://shimz.me/blog/d3-js/2406,清水正行,blog post,,,canvas,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-6-13%2012.36.33%20AM.png,
Delaunay Triangulation,http://bl.ocks.org/4341156,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4341156/raw/thumbnail.png,12/19/2012
Delta-flora for IntelliJ analyze project source code history,http://dkandalov.github.com/delta-flora-for-intellij/,Dmitry Kandalov,blog post; code library,github,Calendar; bar chart; brush; graph,git,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-27-13%204.07.51%20PM.png,
Dendrogram,http://bl.ocks.org/4063570,,code viewer,bl.ocks,dendrogram,,https://a248.e.akamai.net/camo.github.com/e1a1948f0bcfa095d54793afd3ab96af97731773/687474703a2f2f64336a732e6f72672f65782f636c75737465722e706e67,
Density map of homicides in Monterrey,http://bl.ocks.org/diegovalle/5166482,Diego Valle-Jones,code viewer,bl.ocks,map: countour map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-25-13%204.42.43%20PM.png,
Dependo:  force directed graph of JavaScript dependencies,https://github.com/auchenberg/dependo,Kenneth Auchenberg,code library,github,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-2-13%2010.49.06%20AM.png,
Description: A little language for d3js,http://nathansuniversity.com/vanilla/discussion/111/description-a-little-language-for-d3js,,,,,,,
Design process of The Electoral Map,http://shancarter.com/talk/2012/visualized/,Shan Carter,talks,Big Data Think Tank,,,,
Detecting Duplicates in O(1) Space and O(n) Time,http://www.jasondavies.com/duplicates/,Jason Davies,,,math,,,
Dex Motion Chart Demo,http://dexvis.com/vis/MotionChartDemo3.html,Patrick Martin,standalone visualization,,scatterplot,dex,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-22-13%203.11.28%20PM.png,
DexCharts: A new reusable charting library for D3.js,https://github.com/PatMartin/DexCharts,Patrick Martin,code library,github,,,,
Diagram of Patients and Symptoms,http://jsfiddle.net/mrcactu5/VGpRJ/17/,MrCactu5,code viewer,jsfiddle,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-25-13%201.43.46%20PM.png,
Dial examples,http://bl.ocks.org/1144047,Ricardo Marimón,code viewer,bl.ocks,dial,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.22.13%20PM.png,
Difference Chart,http://bl.ocks.org/3894205,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3894205/raw/thumbnail.png,1/10/2013
Dimensional Changes in Wood,http://www.woodchanges.com/,Luis Carli; Rafael Passarelli,blog post,,box plot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-25-13%201.24.15%20PM.png,
Dimple Pong,http://dimplejs.org/advanced_examples_viewer.html?id=advanced_pong,John Kiernander,standalone visualization,,game,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-31-13%2012.11.44%20AM.png,
Dimple.js: An oo API for business analytics powered by d3.,http://dimplejs.org/,John Kiernander,code library,github,bar chart; stacked bar chart; line chart; scatterplot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-28-13%209.13.29%20AM.png,
Directed Graph Editor,http://bl.ocks.org/rkirsling/5001347,Ross Kirsling,code viewer,bl.ocks,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-15-13%209.19.28%20AM.png,
Dissecting a Trailer: The Parts of the Film That Make the Cut,http://www.nytimes.com/interactive/2013/02/19/movies/awardsseason/oscar-trailers.html,Mike Bostock; Shan Carter; Amanda Cox,news,nytimes,time series; timing diagram,video,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%2010.26.31%20AM.png,
Distances from North Korea,http://www.jasondavies.com/maps/north-korea-distance/,Jason Davies,standalone visualization,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-4-13%2010.45.33%20AM.png,
DOM-to-Canvas using D3,http://bl.ocks.org/1276463,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1276463/raw/thumbnail.png,10/11/2012
Donut Chart,http://bl.ocks.org/3887193,Mike Bostock,code viewer,bl.ocks,donut chart,,https://gist.github.com/mbostock/3887193/raw/thumbnail.png,1/16/2013
Donut Multiples,http://bl.ocks.org/3888852,Mike Bostock,code viewer,bl.ocks,donut chart,,https://gist.github.com/mbostock/3888852/raw/thumbnail.png,10/14/2012
Donut Transitions,http://bl.ocks.org/4341417,Mike Bostock,code viewer,bl.ocks,donut chart,,https://gist.github.com/mbostock/4341417/raw/thumbnail.png,12/19/2012
Dorling World Map,http://www.jasondavies.com/maps/dorling-world/,Jason Davies,,,cartogram,,,
Dot Append video tutorials,http://enjalot.github.com/dot-append/,Ian Johnson,video tutorial,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-19-13%201.50.25%20PM.png,
Dot Enter video tutorials,http://enjalot.github.com/dot-enter/,Ian Johnson,video tutorial,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-19-13%201.51.53%20PM.png,
Dot plot with jittering,http://bl.ocks.org/jkschneider/4734864,Jon K. Schneider,code viewer,bl.ocks,dot plot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-24-13%209.39.16%20AM.png,
Dots,http://bl.ocks.org/1169680,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1169680/raw/thumbnail.png,10/11/2012
Drag and resize a D3.js chart with JqueryUI,http://bl.ocks.org/timelyportfolio/5091037,Kenton Russell,code viewer,bl.ocks,scatterplot,jqueryui,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-5-13%208.03.11%20AM.png,
Drag Multiples,http://bl.ocks.org/1557377,Mike Bostock,code viewer,bl.ocks,drag,,https://gist.github.com/mbostock/1557377/raw/thumbnail.png,1/21/2013
Drag rectangle,http://bl.ocks.org/1629464,,code viewer,bl.ocks,drag; resize,,,
Draggable Network,http://bl.ocks.org/4557698,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/4557698/raw/thumbnail.png,1/19/2013
Draggable Network II,http://bl.ocks.org/4566102,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/4566102/raw/thumbnail.png,1/19/2013
Draw tangent on a line on mouseover,http://jsfiddle.net/djatha/JmGC3/,HT de Beer,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-18-13%209.22.14%20AM.png,
Drawing Chemical Structures with Force Layout,http://www.d3coder.com/2012/07/01/drawing-chemical-structures-with-force-layout/,Evan Zamir,blog post,,force layout,,http://i47.tinypic.com/1zqarsn.png,7/1/2012
Drawing Hexagon Mesh with contour using TopoJSON,http://bl.ocks.org/mbostock/5249328,Mike Bostock,code viewer,bl.ocks,hexbin,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-6-13%2010.44.13%20AM.png,
Drop Shadow,http://bl.ocks.org/cpbotha/5200394,Charl P. Botha,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-20-13%2011.46.20%20AM.png,
Drought and Deluge in the Lower 48,http://www.nytimes.com/interactive/2012/08/11/sunday-review/drought-history.html,,news,nytimes,,,,
Drought during Month,http://bost.ocks.org/mike/drought/,,,,map,,,
Drought Extends Crops Wither,http://www.nytimes.com/interactive/2012/08/24/us/drought-crops.html,,news,nytimes,,,,
Dual scale line chart,http://benjchristensen.com/2012/05/02/line-graphs-using-d3-js/,,,,,,,
Dynamic Visualization LEGO,https://github.com/vogievetsky/DVL,Vadim Ogievetsky,code library,github code,,,,
Dynamic-Graphs: charting lib for real-time data,https://github.com/mlarocca/Dynamic-Charts,Marcello La Rocca,code library,github,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-17-13%209.46.59%20AM.png,
Dynamics of Swedish politics,http://pejl.svt.se/visualisering/politik/partisympatier-over-tid/#party=c&indicator=_man,Daniel Lapidus,blog post,,line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-9-13%205.36.18%20PM.png,
Easy infographics with D3.js,http://blog.guanxin.de/2013/02/easy-infographics-with-d3js.html,Ifung Lu,blog post,,infographics,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-19-13%208.33.05%20AM.png,
Eckert I Projection,http://bl.ocks.org/3734322,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734322/raw/thumbnail.png,12/6/2012
Eckert II Projection,http://bl.ocks.org/3734324,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734324/raw/thumbnail.png,12/23/2012
Eckert III Projection,http://bl.ocks.org/3734325,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734325/raw/thumbnail.png,12/23/2012
Eckert IV Projection,http://bl.ocks.org/3734327,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734327/raw/thumbnail.png,12/23/2012
Eckert V Projection,http://bl.ocks.org/3734328,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734328/raw/thumbnail.png,12/23/2012
Eckert VI Projection,http://bl.ocks.org/3734329,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734329/raw/thumbnail.png,12/6/2012
Eckert–Greifendorff,http://bl.ocks.org/4496212,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4496212/raw/thumbnail.png,1/9/2013
eCommerce API Wheel for eBay,http://saranyan.github.com/commerce_wheel,Saranyan Vigraham,code library,github page,,,,
Economic performance of the Amsterdam Metro Area by sector and year,http://www.iconomical.com/customers/Amsterdam-EZ/release/,David Boyce; Elizabeth Turner,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-14-13%209.53.03%20AM.png,
Edge labels,http://bl.ocks.org/anonymous/4970328,,code viewer,bl.ocks,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-17-13%208.03.48%20AM.png,
Eisenlohr Projection,http://bl.ocks.org/3797585,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3797585/raw/thumbnail.png,12/23/2012
El Patrón de los Números Primos,http://www.jasondavies.com/primos/,Jason Davies,,,math,,,
Elastic collisions,http://bl.ocks.org/1706523,,code viewer,bl.ocks,,,,
Election 2012 Social Dashboard (interactive Twitter visualization),http://events.current.com/social_dashboard,Current TV,,,heatmap,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-7-13%203.40.50%20PM.png,
Electro 2013: The magnetic force between political candidates and objectives ,http://zjonsson.github.io/electro/,Ziggy Jonsson,standalone visualization,,bubble chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-29-13%205.22.04%20PM.png,
Embed D3.js Animations in Slidify,https://github.com/ramnathv/slidifyExamples/wiki/Embed-D3.js-Animations-in-Slidify,Ramnath Vaidyanathan,code library,github,,slidify,,
Ember Table  ,http://addepar.github.com/ember-table/,Louis de Vallière; Peter Pong; Sam Herbert,code library,github,table; sparkline; horizon chart; bar chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-5-13%2011.54.57%20PM.png,
Ember Timetree,http://crowdstrike.github.io/ember-timetree/,CrowdStrike,code library,github,,ember,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-9-13%209.24.01%20AM.png,
Enumerating vertex induced connected subgraphs,http://students.mimuw.edu.pl/~rk292662/vertex/,Robert Kozikowski,,,,,,
Epicyclic Gearing,http://bl.ocks.org/1353700,Mike Bostock,code viewer,bl.ocks,experiment,,https://gist.github.com/mbostock/1353700/raw/thumbnail.png,1/23/2013
Epicyclical Gears,http://mbostock.github.com/d3/talk/20111116/gears.html,Mike Bostock,,,,,https://a248.e.akamai.net/camo.github.com/522f9a478f783080a15bbde7a42b39c2adf601ee/687474703a2f2f64336a732e6f72672f65782f67656172732e706e67,
Equidistant Conic Projection,http://bl.ocks.org/3734317,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734317/raw/thumbnail.png,12/23/2012
Equirectangular (Plate Carrée),http://bl.ocks.org/3757119,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3757119/raw/thumbnail.png,12/23/2012
Error bars reusable component,http://bl.ocks.org/chrisbrich/5044999,Chris B. Rich,code viewer,bl.ocks,error bars; scatterplot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%207.49.03%20AM.png,
Eurozone crisis: more than debt,http://www.larsko.org/v/euc/,Lars Kotthoff,standalone visualization,,radar chart,,,
Events in the Game of Thrones,http://jeromecukier.net/projects/agot/events.html,Jérôme Cukier,,,,,,
Every ColorBrewer Scale,http://bl.ocks.org/mbostock/5577023,Mike Bostock,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-16-13%2010.31.26%20AM.png,
Every known drone strike and victim in Pakistan,http://drones.pitchinteractive.com/,Pitch Interactive,standalone visualization,,pictogram; ,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-25-13%205.18.29%20PM.png,
Example of map with routes in Gunma,http://shimz.me/blog/d3-js/2575,清水正行,blog post,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-6-13%2012.28.02%20AM.png,
Exoplanets,http://bl.ocks.org/3007180,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3007180/raw/thumbnail.png,10/11/2012
Exoplanets: an interactive version of XKCD 1071,http://codementum.org/exoplanets/,,,,,,,
Expandable Menu,http://bl.ocks.org/1541816,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1541816/raw/thumbnail.png,10/11/2012
Exploration of the Google PageRank Algorithm,http://bit.ly/17Yc2zn,Brad F. Lyon,standalone visualization,,network; math,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-21-13%204.25.45%20PM.png,
Explore Analytics: cloud-based data analytics and visualization,http://exploreanalytics.com/,,product,,,,,
Exploring d3.js with data from my runs to plot my heart rate,http://blog.freshteapot.net/post/31938798971/using-d3-js-to-visualise-my-heart-rate,,,,,,,
Exploring Health Care Cost and Quality,http://www.streamlinedataworks.com/example5.html,Anna Mehrotra,standalone visualization,,scatterplot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-11-13%2011.20.54%20AM.png,
Exploring Reusability with D3.js,http://weblog.bocoup.com/reusability-with-d3/,Mike Pennisi,blog post,,bar chart; chord layout,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-1-13%2010.41.03%20AM.png,
Export to SVG/PNG/PDF server-side using Perl,http://d3export.cancan.cshl.edu/,,,,,,,
Extending the D3 Zoomable Sunburst with Labels,http://blog.luzid.com/2013/extending-the-d3-zoomable-sunburst-with-labels/,Martin Walter,blog post,,sunburst,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-29-13%202.11.23%20PM.png,
Extent Ticks,http://bl.ocks.org/2996785,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2996785/raw/thumbnail.png,10/11/2012
External SVG,http://bl.ocks.org/1014829,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1014829/raw/thumbnail.png,10/11/2012
Eyedropper,https://www.jasondavies.com/eyedropper/,Jason Davies,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-18-13%2012.36.43%20PM.png,
F1 Championship Points as a d3.js Powered Sankey Diagram,http://blog.ouseful.info/2012/05/24/f1-championship-points-as-a-d3-js-powered-sankey-diagram/,Tony Hirst,blog post,,sankey,networkx,,
Facebook IPO,http://www.nytimes.com/interactive/2012/05/17/business/dealbook/how-the-facebook-offering-compares.html,,,,,,https://a248.e.akamai.net/camo.github.com/3fb6699cd8462e7a82b69c04ac5cb37b968c0f09/687474703a2f2f64336a732e6f72672f65782f66616365626f6f6b2d69706f2e706e67,
Factorisation Diagrams,http://www.jasondavies.com/factorisation-diagrams/,Jason Davies,,,math,,,
Fancy Markers,http://bl.ocks.org/590744,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/590744/raw/thumbnail.png,10/11/2012
Fancy Markers (No Gradient),http://bl.ocks.org/645734,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/645734/raw/thumbnail.png,10/11/2012
Fast Multidimensional Filtering for Coordinated Views,http://square.github.com/tesseract/,,code library,github page,,,,
Faster pan/zoom on big TopoJSON of Iceland,http://bl.ocks.org/4686541,Ziggy Jonsson,code viewer,bl.ocks,map,topojson,,
Faux-3d Shaded Globe,http://bl.ocks.org/4686432,Derek Watkins,code viewer,bl.ocks,map,,,
Feltronifier,http://vallandingham.me/feltronifier/,,,,,,,
Fill-Rule Evenodd,http://bl.ocks.org/870118,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/870118/raw/thumbnail.png,10/11/2012
Financial visualization of top tech companies,http://www.lutzroeder.com/html5/grapher/,Lutz Roeder,standalone visualization,,scatterplot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-15-13%201.10.22%20PM.png,
Fineo: an app based on Sankey diagrams,http://www.densitydesign.org/research/fineo/,DensityDesign,product,,sankey; parallel sets,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-20-13%2011.18.08%20AM.png,
Finite State Stream,http://bl.ocks.org/4333610,Mike Bostock,code viewer,bl.ocks,,,,12/18/2012
First steps in data visualisation using d3.js,http://vimeo.com/35005701,Mike Dewar,talks,New York Open Stat. Prog. Meetup,,,,
Fisheye Distortion,http://bost.ocks.org/mike/fisheye/,Mike Bostock,,,fisheye,,https://a248.e.akamai.net/camo.github.com/a71235c8c8e04e4de210c11ec1b306f493352dcc/687474703a2f2f64336a732e6f72672f65782f666973686579652e706e67,
Fisheye Grid,http://bl.ocks.org/2962761,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2962761/raw/thumbnail.png,10/11/2012
Fixed-width Histogram Irwin-Hall distribution,http://bl.ocks.org/3048450,Mike Bostock,code viewer,bl.ocks,histogram,,https://gist.github.com/mbostock/3048450/raw/thumbnail.png,10/11/2012
Fixed-width Histogram of Durations log-normal distribution,http://bl.ocks.org/3048166,Mike Bostock,code viewer,bl.ocks,histogram,,https://gist.github.com/mbostock/3048166/raw/thumbnail.png,10/11/2012
Flat-Polar Parabolic,http://bl.ocks.org/4465130,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4465130/raw/thumbnail.png,1/5/2013
Flat-Polar Quartic,http://bl.ocks.org/4465137,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4465137/raw/thumbnail.png,1/5/2013
Flat-Polar Sinusoidal,http://bl.ocks.org/4465140,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4465140/raw/thumbnail.png,1/5/2013
Floor Plan Map,http://dciarletta.github.com/d3-floorplan/,David Ciarletta,code library,github page,floor plan,,,
Flows of refugees between the world countries in 2008,http://bl.ocks.org/2209220,,code viewer,bl.ocks,,,,
Focus+Context via Brushing,http://bl.ocks.org/1667367,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1667367/raw/thumbnail.png,1/5/2013
Focusable Maps,http://bl.ocks.org/660054,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/660054/raw/thumbnail.png,10/11/2012
Football passes,http://www.tips-for-excel.com/MCFC/Passes.html,,,,chord diagram,,,
For Example,http://bost.ocks.org/mike/example/,Mike Bostock,blog post,,map; network; hex,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%206-9-13%208.48.40%20PM.png,
For Protovis Users,http://mbostock.github.com/d3/tutorial/protovis.html,Mike Bostock,Introductory tutorials,,,,,
Force Layout from Adjacency List,http://bl.ocks.org/1199811,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1199811/raw/thumbnail.png,10/11/2012
Force Layout from CSV,http://bl.ocks.org/2949937,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2949937/raw/thumbnail.png,10/11/2012
Force Layout from List,http://bl.ocks.org/996370,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/996370/raw/thumbnail.png,12/20/2012
Force layout graph with colour-coded node neighbours,http://bl.ocks.org/samuelleach/5497403,Samuel Leach,code viewer,bl.ocks,network,,https://gist.github.com/samuelleach/5497403/raw/5e13b1d37ac6ca25764085febd45a2beb58e3cfd/thumbnail.png,
Force Layout Multiples (Independent),http://bl.ocks.org/1804889,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1804889/raw/thumbnail.png,10/11/2012
Force layout on composite objects,http://bl.ocks.org/ducksmanager/5580103,Bruno Perel,code viewer,bl.ocks,force,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-16-13%2010.35.48%20AM.png,
Force Layout with Canvas,http://bl.ocks.org/3180395,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3180395/raw/thumbnail.png,10/11/2012
Force Layout with Mouseover Labels,http://bl.ocks.org/1212215,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1212215/raw/thumbnail.png,10/11/2012
Force Layout with Tooltips,http://bl.ocks.org/1212197,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1212197/raw/thumbnail.png,10/11/2012
Force-Based Label Placement,http://bl.ocks.org/1377729,,code viewer,bl.ocks,label,,,
Force-based label placement,http://bl.ocks.org/MoritzStefaner/1377729,Moritz Stefaner,standalone visualization,,force layout,,http://24.media.tumblr.com/c614930b08f5055287e725aa1bf2e7d4/tumblr_mmmxu4cd9L1sqcb3ho1_500.png,
Force-Directed Graph,http://bl.ocks.org/3311124,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3311124/raw/thumbnail.png,10/11/2012
Force-Directed Graph,http://bl.ocks.org/4062045,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/4062045/raw/thumbnail.png,1/22/2013
Force-Directed Graph with Mouseover,http://bl.ocks.org/2706022,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2706022/raw/thumbnail.png,10/11/2012
Force-Directed Graphs: Playing around with D3.js,http://graus.nu/blog/force-directed-graphs-playing-around-with-d3-js/,David Graus,blog post,,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%2012.08.22%20AM.png,
Force-Directed Layout from XML,http://bl.ocks.org/1080941,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1080941/raw/thumbnail.png,10/11/2012
Force-directed layout with drag and drop,http://bl.ocks.org/2883411,,code viewer,bl.ocks,network,,,
Force-directed layout with from Matrix Market format,http://bl.ocks.org/2846454,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/2846454/raw/thumbnail.png,10/11/2012
Force-directed layout with images and Labels,http://bl.ocks.org/950642,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/950642/raw/thumbnail.png,12/20/2012
Force-directed layout with interactive Construction,http://bl.ocks.org/929623,,code viewer,bl.ocks,network,,,
Force-directed layout with multi Foci and Convex Hulls,http://bl.ocks.org/2920551,,code viewer,bl.ocks,network,,,
Force-directed layout with multiple Foci,http://bl.ocks.org/1021953,,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1021953/raw/thumbnail.png,
